Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805",107.100000,-80.645000,180.000000,top
"C2","2u2","C_0805",110.800000,-74.331000,180.000000,top
"C4","2u2","C_0805",157.773000,-80.772000,0.000000,top
"C5","2u2","C_0805",108.500000,-60.650000,180.000000,top
"C6","2u2","C_0805",129.050000,-59.150000,180.000000,top
"C7","2u2","C_0805",143.400000,-69.900000,270.000000,top
"C8","2u2","C_0805",129.575000,-80.950000,0.000000,top
"C9","2u2","C_0805",115.800000,-69.362500,270.000000,top
"C10","2u2","C_0805",150.202000,-50.800000,0.000000,top
"C11","2u2","C_0805",150.202000,-72.390000,0.000000,top
"C12","2u2","C_0805",138.050000,-53.350000,270.000000,top
"C13","2u2","C_0805",140.550000,-53.350000,270.000000,top
"C14","10p","C_0805",122.500000,-56.050000,0.000000,top
"FID1","Fiducial","Fiducial",105.092500,-49.530000,0.000000,top
"FID2","Fiducial","Fiducial",159.067500,-49.530000,0.000000,top
"FID3","Fiducial","Fiducial",158.750000,-85.471000,0.000000,top
"FID4","Fiducial","Fiducial",105.410000,-85.471000,0.000000,top
"JP1","Mode","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left",107.950000,-55.880000,0.000000,top
"JP2","Size","PinHeader_2x02_P2.54mm_Vertical_SMD",153.035000,-76.581000,0.000000,top
"R1","0","R_0805",122.500000,-50.150000,180.000000,top
"R2","0","R_0805",122.500000,-52.650000,180.000000,top
"R3","1k","R_0805",119.200000,-53.700000,90.000000,top
"R3","1k","R_0805",122.500000,-58.050000,0.000000,top
"R3","1k","R_0805",119.200000,-57.100000,90.000000,top
"R4","470","R_0805",118.110000,-81.595000,270.000000,top
"R5","22k","R_0805",154.747000,-72.390000,0.000000,top
"R6","22k","R_0805",152.842000,-80.772000,180.000000,top
"R7","22k","R_0805",109.662000,-51.816000,180.000000,top
"U3","LD1117S33","SOT-223",109.350000,-67.300000,90.000000,top
"U4","M5LV-PQFP100","PQFP-100_14x20mm_P0.65mm",129.575000,-69.975000,270.000000,top
"U6","DRAM_2Mx8","SOJ-28-300mil",153.035000,-61.595000,0.000000,top
